RAC1P,SEX,REGION,ST,CIT,NATIVITY,DIS,DIVISION,RAC2P,POBP,WAOB,ID
6,1,2,13,5,2,2,5,68,303,3,917801
8,1,4,38,5,1,2,9,67,316,2,338210
1,2,9,36,4,2,2,2,1,165,3,2013725
6,1,4,6,2,1,2,9,45,233,4,437998
5,1,3,41,4,1,2,5,68,361,3,752749
6,2,2,6,4,2,2,9,57,248,4,512690
3,2,2,48,5,1,2,7,37,303,3,2770350
2,1,1,34,2,2,2,2,1,211,4,1869083
1,1,1,24,4,2,2,5,1,128,5,3014017
9,1,9,47,4,2,2,6,68,370,3,2636665
8,1,4,55,4,2,2,9,10,303,6,503157
6,2,4,51,4,2,2,9,54,231,5,468798
7,1,1,34,3,2,2,2,38,127,1,1852927
6,2,1,53,4,1,2,2,46,210,3,1871506
1,1,4,6,1,1,2,9,9,128,6,189041
6,2,3,39,4,2,1,3,49,329,8,2268013
6,1,1,36,5,1,2,2,43,30,5,2009162
2,1,1,9,2,2,2,1,20,313,1,639927
7,1,3,48,4,1,2,7,68,400,3,2856065
8,2,3,47,5,2,2,7,67,310,3,2917989
9,2,1,36,5,1,1,2,68,364,3,2073012
6,1,4,6,2,2,2,9,38,210,4,488678
4,1,4,6,5,1,2,9,38,303,3,279058
7,1,1,25,2,2,2,1,23,333,3,1460863
6,1,4,6,5,2,1,9,40,207,4,392637
9,2,3,20,4,2,1,5,68,327,3,1377580
2,2,4,5,3,2,1,9,2,368,8,542603
5,2,4,6,4,2,2,9,43,207,4,395544
6,2,9,41,5,2,2,9,43,169,4,2385742
9,1,4,13,1,2,2,8,30,338,7,1905199
7,2,3,37,4,1,2,5,46,223,4,2121489
6,1,4,55,1,2,2,3,38,210,4,3189272
6,2,4,6,4,2,1,9,45,154,4,399803
8,1,3,5,5,2,2,9,67,66,3,445901
6,1,2,34,4,1,2,2,38,129,4,1801963
9,1,3,12,5,2,2,5,23,312,3,669534
9,2,3,13,3,2,2,5,43,226,4,916190
8,2,3,12,5,1,2,5,68,134,4,677395
8,2,4,6,5,2,2,9,67,303,4,543965
3,2,3,6,1,2,2,9,57,467,4,406446
9,2,3,54,2,1,1,7,68,327,7,2348584
8,2,9,48,5,2,1,7,1,300,3,2884222
6,1,4,53,5,1,2,9,49,217,4,3146130
6,1,1,36,2,2,2,2,38,132,6,1931185
9,1,4,36,4,1,2,2,68,253,4,1995862
6,2,4,6,4,2,2,9,38,210,4,320213
2,1,3,12,4,1,2,5,63,37,4,677261
8,1,4,54,5,2,2,9,39,303,3,504095
9,1,1,36,5,1,2,9,68,303,3,501876
6,1,1,34,5,2,2,2,67,365,3,1802976
8,1,4,6,2,2,2,9,67,42,4,422800
8,1,4,51,4,2,2,9,31,303,6,232618
1,1,2,6,4,2,2,9,49,129,5,506010
2,1,3,36,5,2,2,2,11,421,6,2006177
9,2,9,51,4,1,2,2,50,222,7,2056559
5,1,2,37,5,2,2,5,67,364,3,2137906
9,2,3,12,4,1,2,5,68,327,1,798048
6,2,4,40,5,2,2,9,38,210,7,539997
6,1,1,6,1,2,2,9,38,210,8,429959
6,1,9,13,5,2,2,2,58,246,4,2057111
6,2,1,24,2,2,2,1,23,32,7,623312
8,1,1,25,2,2,1,1,67,329,6,1466465
6,2,2,55,3,2,2,3,53,223,4,3208782
6,2,1,50,4,2,1,2,45,233,4,1803620
1,1,1,6,1,2,2,9,1,515,3,213338
6,2,4,6,5,2,2,9,15,207,6,197319
8,1,4,6,4,2,2,9,14,303,3,471710
9,1,3,48,5,2,2,7,68,303,4,2854163
9,1,3,48,4,2,1,7,68,303,3,2840767
6,1,9,6,4,1,2,9,13,207,4,354005
2,2,4,24,5,2,2,5,45,416,6,1368231
6,2,4,6,4,2,1,9,51,207,8,200291
9,2,3,12,5,2,2,5,27,303,3,681486
6,2,2,17,1,1,2,3,51,207,4,1098090
1,1,3,48,3,1,2,7,1,243,4,2918774
9,2,3,22,4,2,1,3,52,134,3,2254215
8,1,1,26,4,1,1,2,67,130,3,1867486
1,2,1,35,5,1,2,8,1,303,4,1904753
9,1,4,6,4,2,2,9,68,147,3,351302
2,2,4,6,1,2,2,9,43,217,4,198113
1,2,4,22,4,2,2,1,1,165,5,628533
2,1,3,48,3,2,2,7,4,39,3,2801396
3,1,3,12,4,2,2,5,1,139,8,705548
1,2,4,34,5,2,2,2,45,233,4,1830710
6,1,3,18,4,2,2,7,45,33,4,2911721
1,2,3,16,5,2,2,5,1,301,7,672479
1,1,9,32,4,2,2,8,1,110,5,1778103
3,2,4,6,5,2,2,9,6,207,8,444276
6,2,3,12,4,1,2,5,38,515,4,732138
6,2,1,36,4,1,2,2,65,233,4,2045898
5,1,3,48,4,2,2,7,33,242,4,2841365
1,1,3,48,5,1,2,7,1,120,5,2941501
9,1,3,12,2,2,2,5,2,313,3,812858
6,2,4,48,4,2,2,7,38,210,4,2788584
9,1,3,51,4,1,1,5,49,314,6,3048394
6,1,4,9,1,1,2,1,54,310,4,617557
1,1,4,17,5,2,2,3,15,149,5,1107593
6,1,1,36,3,1,2,2,43,229,4,2061862
1,1,9,6,5,2,2,8,1,138,5,126787
1,2,3,12,1,1,2,5,21,117,5,706921
6,2,3,12,3,1,2,5,45,233,4,745493
9,2,4,6,5,2,2,9,43,247,4,387299
8,1,4,27,4,2,2,9,67,162,3,430622
1,2,2,39,2,2,2,3,58,429,5,2295750
9,2,3,12,4,1,2,5,68,364,3,727575
8,2,2,6,4,2,2,9,67,303,7,501345
9,1,3,48,5,2,2,7,68,156,3,2762372
6,1,1,31,5,2,2,1,37,202,4,1454647
2,1,4,32,5,2,2,8,68,303,1,1784412
8,1,4,16,4,1,2,9,67,303,3,284119
6,1,4,15,5,2,1,9,57,501,4,953573
1,1,1,55,5,2,2,5,1,139,5,3054976
4,1,3,21,3,2,2,6,35,163,5,1247500
1,2,1,17,2,1,2,8,1,117,5,2980925
8,2,1,6,5,1,2,9,52,303,5,544654
6,1,3,13,1,1,2,5,38,501,8,886873
4,2,4,6,4,2,2,9,47,231,5,221543
1,1,3,48,2,2,2,7,38,36,3,2884186
8,1,1,49,5,1,2,1,67,362,1,1429569
9,1,2,15,2,2,2,5,26,373,3,717392
8,1,3,48,4,2,2,7,67,303,5,2853599
6,2,4,19,4,2,2,4,45,233,4,1192173
6,2,4,9,4,2,2,1,1,120,5,636946
6,2,4,6,5,2,2,9,38,210,4,331465
7,1,9,41,4,2,2,9,68,363,3,2416994
8,1,4,6,5,2,2,9,7,303,3,377714
7,2,3,40,2,1,2,7,64,511,8,2376709
9,1,3,40,4,2,2,7,31,303,3,2360517
1,1,3,12,2,2,2,5,3,168,7,718425
6,1,4,16,1,2,2,2,45,231,7,1855896
8,1,4,6,1,2,2,9,67,303,3,434783
9,1,3,12,4,2,2,5,68,370,3,813992
4,1,3,56,5,2,2,5,14,235,2,777593
3,1,4,4,4,1,2,8,68,303,8,95240
1,2,1,24,4,2,2,2,1,147,5,2495903
9,1,3,12,4,1,2,5,68,303,3,717757
1,2,9,17,5,2,2,3,1,138,2,2236614
4,2,3,37,4,2,2,5,1,15,5,2184049
9,2,3,51,3,2,2,5,1,140,8,3055949
5,2,3,37,4,2,2,5,44,207,4,2152934
6,1,2,6,2,2,2,9,43,240,4,336947
7,2,2,39,5,2,2,8,1,163,5,569429
1,1,3,12,4,2,2,5,27,162,5,839238
5,2,2,20,5,1,2,4,67,301,7,1216858
6,2,4,6,5,2,2,9,68,238,4,311726
8,2,9,42,5,2,1,8,67,303,4,1769741
2,1,3,40,4,2,1,5,2,407,6,1363199
8,2,4,50,2,2,2,9,67,303,3,366966
9,2,3,37,5,1,2,2,68,314,3,2034841
6,2,4,6,4,2,2,9,43,207,4,364215
1,2,2,46,1,2,2,9,5,303,3,328059
1,1,2,12,4,1,1,5,43,327,3,826971
7,1,3,9,3,1,2,7,1,373,6,2945151
9,1,3,47,5,1,2,7,33,303,3,2946914
6,2,1,6,5,2,2,9,33,442,4,176272
6,2,1,36,3,1,2,2,43,207,4,2107792
3,2,3,13,4,2,2,5,56,242,4,882849
8,1,4,39,4,2,2,8,67,303,2,127363
5,1,1,34,5,2,2,2,40,210,4,1887142
6,2,4,53,4,2,2,9,61,217,4,3092747
8,1,1,6,1,2,1,9,34,40,3,236040
6,1,4,6,4,2,2,9,56,210,4,343978
6,2,2,4,4,2,2,3,45,233,4,3223293
6,1,3,13,4,2,2,5,26,210,1,941625
6,1,3,13,4,2,2,5,36,247,4,874239
9,1,4,40,4,2,2,9,18,303,3,538942
9,2,2,21,4,2,2,1,68,329,3,1450911
6,1,1,12,4,2,2,5,43,207,4,766137
1,2,3,12,5,1,1,5,37,362,3,772592
7,1,4,6,2,1,2,9,65,303,3,314813
8,2,4,55,4,1,2,9,3,303,3,326148
2,1,4,6,1,2,2,9,43,226,1,345904
6,2,3,4,5,1,2,5,57,247,5,838608
7,1,1,36,3,2,2,2,67,315,7,1927362
9,2,1,36,4,2,2,2,68,50,5,2012984
3,2,1,25,5,2,2,1,68,329,3,1470156
6,2,3,2,4,2,2,9,57,330,4,199713
2,1,3,28,4,2,2,6,2,467,6,1634156
1,1,9,10,4,2,2,7,1,213,4,2841537
9,1,4,12,4,2,2,5,68,5,5,658637
6,1,2,17,5,1,2,3,45,233,2,1040577
5,1,1,17,4,1,2,2,67,329,3,2053493
6,1,4,55,4,1,2,9,45,233,4,216668
9,2,1,47,4,2,2,2,53,430,5,1943001
6,2,4,20,5,2,2,4,57,449,4,1231463
5,2,4,8,4,1,2,8,43,209,4,568446
1,1,4,6,5,1,2,9,1,162,5,227975
8,2,2,17,4,2,2,3,67,372,7,991732
1,2,3,48,5,2,2,7,1,501,8,2883019
6,2,4,41,3,1,2,9,1,301,8,2412931
2,1,4,6,3,2,2,9,2,217,6,199062
8,1,3,29,5,2,2,5,32,303,3,706066
9,2,4,6,5,2,2,9,57,200,3,474127
2,2,3,13,4,2,2,5,2,228,3,930872
9,2,4,51,5,1,2,8,68,303,5,60811
6,2,1,6,4,2,2,9,59,207,4,412635
9,2,3,48,4,2,2,7,68,128,3,2785134
7,2,1,4,2,1,1,2,2,332,3,1912210
2,2,4,6,4,2,2,9,2,511,3,215438
6,2,1,34,5,2,2,2,38,210,4,1859320
9,2,3,48,5,1,2,7,68,303,2,2858071
2,1,1,42,3,2,2,2,2,467,7,2496390
9,2,3,12,4,2,2,5,68,327,3,831118
1,2,2,17,4,2,1,3,1,37,5,1052737
1,2,1,36,5,2,1,2,1,365,3,1968782
7,2,9,42,4,2,2,2,58,139,5,2439186
3,1,2,17,4,2,2,3,4,303,3,1098557
6,2,1,31,3,2,1,2,46,233,5,1990537
6,2,4,6,4,2,2,9,43,240,1,466056
6,1,1,34,4,2,2,2,23,233,7,1818485
1,2,4,6,2,1,2,9,1,301,7,301217
2,1,2,6,4,2,2,9,43,209,4,535375
1,2,1,34,5,2,2,2,53,247,4,1871870
8,2,1,34,5,1,1,2,44,207,4,1875043
6,1,3,13,1,2,2,5,2,233,4,880795
6,2,1,36,4,2,2,2,38,210,4,2052811
9,1,4,6,4,1,2,9,56,303,3,238673
8,2,1,12,5,2,2,5,67,303,4,793444
5,2,3,35,5,2,1,5,23,329,3,745406
9,1,3,12,4,2,2,5,68,364,3,773666
6,1,4,56,1,2,2,1,38,210,1,1456181
9,1,2,45,5,2,1,3,68,156,2,1063236
9,2,4,40,5,1,1,9,68,303,3,178722
8,2,3,12,4,2,2,5,60,327,1,669961
8,2,3,32,4,2,2,5,67,314,3,3051600
4,1,4,41,4,2,2,9,57,247,4,2416209
6,1,4,6,5,2,2,9,45,233,4,353242
5,1,4,53,1,1,2,9,12,206,5,3110427
2,2,3,32,4,1,2,5,41,210,4,2155814
9,1,1,36,2,2,2,2,68,523,3,1997507
2,1,1,24,5,2,2,5,38,53,4,1350006
6,1,1,42,4,1,2,2,43,247,4,2461048
6,1,1,34,4,1,2,2,30,217,4,1846209
8,1,1,36,2,1,2,2,67,365,3,2031490
6,2,3,48,4,2,2,7,57,233,4,2821150
8,2,4,53,4,2,2,9,67,303,3,3086822
9,1,4,4,4,2,2,8,29,303,3,67476
8,1,3,48,5,2,2,7,67,213,3,2823734
9,1,3,48,5,2,1,7,68,303,3,2862877
9,1,9,28,5,2,2,9,68,224,3,286917
2,2,3,28,4,2,1,5,2,333,3,665898
6,1,4,44,4,1,2,9,42,247,4,3123884
5,1,1,36,4,1,2,2,67,368,3,1937231
5,2,2,8,5,1,2,2,38,210,5,2006897
9,2,1,34,4,2,2,2,68,365,3,1803669
1,1,4,6,5,2,1,9,1,301,7,280433
3,2,4,32,4,1,2,8,18,233,4,1762299
2,2,4,12,1,2,2,5,2,333,3,850650
5,2,2,6,4,2,2,9,29,105,3,474210
9,1,3,12,5,2,2,5,68,314,3,795424
1,1,2,34,4,2,2,2,1,128,7,1838359
6,1,9,1,5,2,2,9,57,247,4,331401
1,2,3,12,2,2,2,5,12,119,3,741374
9,1,4,50,2,1,2,5,68,327,8,804340
9,2,9,17,5,2,1,3,43,303,4,1022568
1,1,3,15,4,2,2,5,1,311,3,823793
1,2,4,6,5,2,2,9,1,164,5,421489
2,2,3,12,5,1,2,5,2,149,3,678268
9,1,4,4,4,2,1,8,68,303,3,65839
1,2,3,17,4,1,2,3,1,117,6,1052407
6,2,1,6,1,2,2,9,38,42,4,296327
2,2,9,13,4,2,2,2,2,333,3,1963732
1,2,1,25,4,2,2,1,1,100,7,1477416
8,1,4,6,4,1,1,9,28,303,3,178721
9,1,4,17,5,1,2,5,67,315,3,715552
6,1,9,48,3,1,2,7,59,247,4,2863604
1,2,2,55,4,1,2,3,1,128,5,3217750
6,2,4,36,4,1,2,2,38,119,4,1938079
9,1,1,27,4,2,2,2,68,214,1,1877149
1,1,3,37,4,2,1,5,1,212,4,799572
8,1,3,41,4,1,2,5,3,303,3,2125895
3,2,2,29,5,2,2,9,67,365,3,292200
2,2,9,17,4,2,2,8,3,167,6,2968568
2,2,2,30,2,1,2,2,2,233,7,1860556
9,1,3,6,5,2,2,9,68,34,4,170983
5,2,2,39,4,1,2,3,57,247,8,2290880
8,1,4,6,5,2,2,9,64,303,2,378573
5,2,3,35,5,2,1,5,68,129,3,1391501
6,1,2,6,4,2,2,9,38,210,4,407471
6,2,1,17,4,1,2,3,38,42,5,1100918
1,1,9,27,4,2,2,4,1,163,5,1597059
8,1,3,12,5,2,2,5,67,303,3,686716
6,2,1,36,4,1,2,2,38,368,3,1973504
3,1,3,39,4,1,2,1,2,202,3,1410030
6,2,4,15,5,2,2,9,45,233,4,963196
1,2,2,26,3,1,2,3,1,363,5,1548235
1,1,3,39,5,2,2,5,35,511,5,660238
8,2,1,6,4,1,2,9,67,313,3,364021
1,2,4,31,4,1,2,9,68,303,3,431710
9,2,4,15,4,2,1,9,42,233,2,958680
6,1,9,48,5,1,2,7,48,469,4,2813218
1,2,3,6,4,2,2,5,5,160,5,920313
9,1,1,6,4,1,2,2,68,161,3,2067559
6,1,4,4,5,2,2,9,67,312,3,340159
8,2,3,5,4,2,2,7,67,312,3,2745208
6,2,4,1,2,2,2,6,62,215,4,37216
6,1,1,42,3,2,2,2,38,210,4,2457408
4,1,3,48,2,1,2,7,2,407,6,2914086
1,2,3,12,2,2,2,5,45,362,3,755247
6,2,9,6,4,1,2,9,43,329,4,207913
6,1,3,21,4,2,2,5,4,233,4,729300
7,2,1,8,4,2,2,2,43,327,3,1852917
8,1,1,34,4,2,2,2,67,301,3,1822758
9,1,3,41,4,1,2,9,44,217,4,2420665
4,1,3,6,5,2,2,5,38,328,4,2159830
9,1,4,6,5,2,1,9,68,303,3,489522
6,2,3,41,3,2,2,7,57,247,2,2920211
1,1,4,6,4,2,2,9,1,229,4,338339
2,1,2,26,4,2,2,3,2,442,6,1478998
6,2,4,6,4,2,2,9,45,233,5,320287
1,1,4,18,1,1,2,3,1,214,5,1121518
9,1,1,36,5,1,1,2,68,329,5,2007625
6,1,1,6,4,1,2,9,53,233,6,451165
1,2,3,13,4,2,2,5,1,149,3,943323
7,1,3,40,4,2,2,5,49,217,5,3019869
8,1,4,28,5,2,2,9,67,373,3,181241
8,1,4,6,5,2,1,9,67,104,3,526625
8,1,4,6,5,2,2,9,6,527,3,453855
2,2,4,51,5,2,2,3,2,421,6,2304373
6,2,1,32,5,2,2,2,48,215,4,2552346
6,1,4,53,4,2,2,9,17,217,4,3095513
9,2,1,24,5,1,2,5,67,313,3,1369361
2,1,4,19,1,2,1,7,39,436,1,2737698
1,1,4,6,1,2,2,9,1,303,5,208837
2,1,1,37,4,2,2,5,2,210,1,2132855
1,2,1,23,3,1,2,1,1,110,5,1334677
2,2,3,12,4,2,1,5,2,332,3,850022
6,2,3,56,5,1,2,5,2,20,3,743983
9,1,1,34,5,2,2,2,45,312,3,1815028
1,2,9,53,4,1,2,9,48,166,7,3136112
2,1,1,72,4,2,2,2,2,332,3,2038802
1,1,4,32,1,1,2,8,1,26,1,1777837
2,2,3,48,1,1,1,7,2,48,1,2812823
1,2,3,48,1,1,2,7,1,48,1,2712085
1,1,4,8,1,1,2,8,1,8,1,565993
9,1,1,42,1,1,2,2,1,42,1,2519715
1,1,4,32,1,1,2,8,1,17,1,1783962
9,1,3,12,1,1,2,5,55,36,1,806189
9,1,4,32,1,1,2,9,68,327,1,170448
1,2,3,28,1,1,2,6,1,31,1,1645568
9,2,4,8,1,1,2,8,68,8,1,546889
1,2,4,4,1,1,2,8,1,4,1,84263
9,2,1,42,1,2,2,2,68,24,1,2442637
2,2,2,17,1,1,1,3,2,17,1,1017863
1,2,4,41,1,1,2,9,1,154,2,2414883
3,2,4,4,1,1,2,8,55,22,1,104135
1,1,3,13,1,1,2,5,1,13,1,878495
2,2,2,27,1,1,2,4,2,27,1,1623675
1,1,9,72,2,1,2,0,1,72,2,3270054
1,1,1,42,1,1,2,2,1,48,1,2449793
2,1,2,29,1,1,2,4,2,29,1,1715534
1,1,3,28,1,1,1,6,1,47,1,2680659
9,2,4,6,1,1,1,9,68,32,1,220763
1,2,3,48,1,1,2,7,1,48,1,2944060
1,1,2,45,1,2,2,5,1,45,4,2565618
1,1,1,34,1,1,2,2,1,37,1,1811483
4,2,3,48,1,1,2,7,1,20,1,2855167
9,2,4,6,1,1,2,9,68,6,1,329754
1,1,2,29,1,1,1,4,1,29,1,1699730
1,1,1,25,4,1,2,1,1,25,1,1436201
1,2,3,47,1,1,1,6,1,47,1,2677582
1,1,2,19,1,1,2,4,1,19,1,1192645
1,1,4,53,1,1,1,9,1,22,1,3151009
1,2,4,35,3,1,2,9,1,303,3,288226
7,1,3,55,1,1,2,4,60,6,1,1674026
1,1,1,36,1,1,1,2,1,36,1,2103386
1,1,3,72,1,1,2,5,1,47,1,2581037
1,2,3,13,1,1,2,5,15,18,1,869404
1,1,4,6,1,1,2,9,1,6,1,221366
8,1,3,48,1,1,2,7,67,312,1,2763264
1,2,2,18,1,1,1,3,1,247,1,1158144
1,1,2,19,1,1,2,4,1,19,1,1189953
6,1,4,6,1,2,2,9,67,6,1,224383
1,1,2,55,1,1,2,3,1,55,1,3229537
1,2,3,37,1,1,2,5,1,6,1,2116865
9,1,3,1,1,1,2,6,1,1,1,6914
1,1,4,53,1,1,2,9,21,53,1,3120669
1,2,2,29,1,1,2,4,1,41,1,1665062
9,2,4,6,1,1,2,9,1,6,1,221238
9,2,3,48,1,1,2,7,68,48,1,2786531
1,1,9,72,1,1,2,0,66,365,3,3265306
1,2,4,6,1,1,2,9,42,6,1,324771
1,2,2,29,1,1,2,4,1,17,1,1682604
1,2,4,49,5,1,2,8,1,56,4,2976491
1,1,2,31,1,1,2,4,1,48,1,1736198
1,2,2,17,1,1,2,3,1,17,1,1078034
1,2,3,48,1,1,2,7,1,16,1,2892996
1,2,4,4,1,1,2,8,36,6,1,94646
1,2,4,4,1,1,2,8,1,4,1,94197
3,2,4,4,1,1,2,8,17,4,1,107603
2,1,1,25,1,1,2,1,2,12,1,1411229
1,1,3,12,1,1,2,5,1,12,1,795436
5,1,1,42,1,1,2,2,1,42,1,2433482
1,2,2,34,4,2,2,2,1,34,1,1830104
3,2,4,32,5,2,2,8,27,32,1,1760171
1,2,2,27,1,1,1,4,1,4,1,1578422
5,1,1,34,1,1,2,2,1,129,1,1817610
