RAC1P,SEX,REGION,ST,CIT,NATIVITY,DIS,DIVISION,RAC2P,POBP,WAOB,ID,REGION_dirty,ST_dirty,CIT_dirty,NATIVITY_dirty,RAC1P_dirty,RAC2P_dirty,POBP_dirty,WAOB_dirty
6,2,2,39,4,2,1,3,49,329,3,2268013,3,,,,,,,8
6,1,1,36,5,2,2,2,43,207,4,2009162,,,,1,,,30,5
8,1,1,9,4,2,2,1,67,313,3,639927,,,2,,2,20,,1
9,1,3,48,4,2,2,7,68,316,3,2856065,,,,1,7,,400,
8,2,3,48,5,2,2,7,67,303,3,2917989,,47,,,,,310,
9,2,1,36,5,2,1,2,68,364,3,2073012,,,,1,,,,
6,1,4,6,4,2,2,9,38,210,4,488678,,,2,,,,,
8,1,4,6,5,2,2,9,67,303,3,279058,,,,1,4,38,,
2,1,1,25,4,2,2,1,2,333,3,1460863,,,2,,7,23,,
6,1,4,6,5,2,1,9,43,207,4,392637,,,,,,40,,
9,2,3,24,4,2,1,5,68,327,3,1377580,,20,,,,,,
2,2,4,6,4,2,1,9,2,328,3,542603,,5,3,,,,368,8
6,2,4,6,4,2,2,9,43,207,4,395544,,,,,5,,,
6,2,4,41,5,2,2,9,43,207,4,2385742,9,,,,,,169,
9,1,4,35,5,2,2,8,68,222,4,1905199,,13,1,,,30,338,7
6,2,3,37,4,2,2,5,46,223,4,2121489,,,,1,7,,,
6,1,2,55,5,2,2,3,38,210,4,3189272,4,,1,,,,,
6,2,4,6,4,2,1,9,45,233,4,399803,,,,,,,154,
8,1,4,6,5,2,2,9,67,303,3,445901,3,5,,,,,66,
6,1,1,34,4,2,2,2,38,210,4,1801963,2,,,1,,,129,
9,1,3,12,5,2,2,5,68,327,3,669534,,,,,,23,312,
6,2,3,13,4,2,2,5,43,226,4,916190,,,3,,9,,,
9,2,3,12,5,2,2,5,68,134,5,677395,,,,1,8,,,4
8,2,4,6,5,2,2,9,67,303,3,543965,,,,,,,,4
6,2,4,6,4,2,2,9,57,247,4,406446,3,,1,,3,,467,
9,2,3,40,4,2,1,7,68,327,3,2348584,,54,2,1,,,,7
8,2,3,48,5,2,1,7,67,303,3,2884222,9,,,,,1,300,
6,1,4,53,5,2,2,9,49,217,4,3146130,,,,1,,,,
6,1,1,36,5,2,2,2,43,368,3,1931185,,,2,,,38,132,6
9,1,1,36,4,2,2,2,68,253,4,1995862,4,,,1,,,,
6,2,4,6,4,2,2,9,38,210,4,320213,,,,,,,,
2,1,3,12,4,2,2,5,2,332,3,677261,,,,1,,63,37,4
8,1,4,6,5,2,2,9,67,303,3,504095,,54,,,,39,,
9,1,4,6,5,2,2,9,68,303,3,501876,1,36,,1,,,,
8,1,1,34,5,2,2,2,67,365,3,1802976,,,,,6,,,
8,1,4,6,4,2,2,9,67,303,3,422800,,,2,,,,42,4
8,1,4,6,4,2,2,9,67,303,3,232618,,51,,,,31,,6
1,1,4,6,4,2,2,9,1,129,5,506010,2,,,,,49,,
2,1,1,36,5,2,2,2,2,421,6,2006177,3,,,,,11,,
9,2,1,36,4,2,2,2,68,329,3,2056559,9,51,,1,,50,222,7
8,1,3,37,5,2,2,5,67,303,3,2137906,2,,,,5,,364,
9,2,3,12,4,2,2,5,68,327,3,798048,,,,1,,,,1
6,2,4,6,5,2,2,9,38,210,4,539997,,40,,,,,,7
6,1,4,6,4,2,2,9,38,210,4,429959,1,,1,,,,,8
6,1,1,36,5,2,2,2,58,246,4,2057111,9,13,,,,,,
6,2,1,9,4,2,2,1,49,233,4,623312,,24,2,,,23,32,7
8,1,1,25,4,2,1,1,67,329,3,1466465,,,2,,,,,6
6,2,2,55,4,2,2,3,53,223,4,3208782,,,3,,,,,
6,2,1,34,4,2,1,2,45,233,4,1803620,,50,,,,,,
1,1,4,6,4,2,2,9,1,515,8,213338,1,,1,,,,,3
6,2,4,6,5,2,2,9,43,207,4,197319,,,,,,15,,6
8,1,4,6,5,2,2,9,67,303,3,471710,,,4,,,14,,
9,1,3,48,5,2,2,7,68,303,3,2854163,,,,,,,,4
9,1,3,48,4,2,1,7,68,303,3,2840767,,,,,,,,
6,1,4,6,4,2,2,9,38,207,4,354005,9,,,1,,13,,
2,2,3,24,5,2,2,5,2,416,6,1368231,4,,,,,45,,
6,2,4,6,4,2,1,9,43,207,4,200291,,,,,,51,,8
9,2,3,12,5,2,2,5,68,329,3,681486,,,,,,27,303,
6,2,2,17,5,2,2,3,43,207,4,1098090,,,1,1,,51,,
1,1,3,48,5,2,2,7,1,243,4,2918774,,,3,1,,,,
1,2,2,39,4,2,1,3,1,327,3,2254215,3,22,,,9,52,134,
8,1,1,34,4,2,1,2,67,312,3,1867486,,26,,1,,,130,
1,2,4,35,5,2,2,8,1,303,3,1904753,1,,,1,,,,4
9,1,4,6,4,2,2,9,68,303,3,351302,,,,,,,147,
6,2,4,6,4,2,2,9,43,207,4,198113,,,1,,2,,217,
1,2,1,9,4,2,2,1,1,165,5,628533,4,22,,,,,,
1,1,3,48,5,2,2,7,1,303,3,2801396,,,3,,2,4,39,
1,1,3,12,4,2,2,5,1,139,5,705548,,,,,3,,,8
6,2,1,34,5,2,2,2,45,233,4,1830710,4,,,,1,,,
6,1,3,48,5,2,2,7,45,233,4,2911721,,18,4,,,,33,
1,2,3,12,5,2,2,5,1,301,7,672479,,16,,,,,,
1,1,4,32,5,2,2,8,1,110,5,1778103,9,,4,,,,,
6,2,4,6,5,2,2,9,43,207,4,444276,,,,,3,6,,8
6,2,3,12,4,2,2,5,38,210,4,732138,,,,1,,,515,
6,2,1,36,4,2,2,2,45,233,4,2045898,,,,1,,65,,
9,1,3,48,4,2,2,7,68,242,4,2841365,,,,,5,33,,
1,1,3,48,5,2,2,7,1,120,5,2941501,,,,1,,,,
9,1,3,12,5,2,2,5,68,313,3,812858,,,2,,,2,,
6,2,3,48,4,2,2,7,38,210,4,2788584,4,,,,,,,
9,1,3,51,4,2,1,5,68,314,3,3048394,,,,1,,49,,6
6,1,1,9,5,2,2,1,54,231,4,617557,4,,1,1,,,310,
1,1,2,17,5,2,2,3,1,162,5,1107593,4,,,,,15,149,
6,1,1,36,4,2,2,2,43,229,4,2061862,,,3,1,,,,
1,1,4,4,5,2,2,8,1,138,5,126787,9,6,,,,,,
1,2,3,12,4,2,2,5,1,104,5,706921,,,1,1,,21,117,
6,2,3,12,4,2,2,5,45,233,4,745493,,,3,1,,,,
6,2,4,6,4,2,2,9,43,247,4,387299,,,5,,9,,,
8,1,4,6,4,2,2,9,67,303,3,430622,,27,,,,,162,
1,2,2,39,4,2,2,3,1,117,5,2295750,,,2,,,58,429,
9,2,3,12,5,2,2,5,68,364,3,727575,,,4,1,,,,
8,2,4,6,4,2,2,9,67,303,3,501345,2,,,,,,,7
9,1,3,48,5,2,2,7,68,314,3,2762372,,,,,,,156,
6,1,1,25,5,2,2,1,57,202,4,1454647,,31,,,,37,,
9,1,4,32,5,2,2,8,68,303,3,1784412,,,,,2,,,1
8,1,4,6,4,2,2,9,67,303,3,284119,,16,,1,,,,
6,1,4,15,4,2,1,9,57,247,4,953573,,,5,,,,501,
1,1,3,51,5,2,2,5,1,139,5,3054976,1,55,,,,,,
1,1,3,21,4,2,2,6,1,163,5,1247500,,,3,,4,35,,
1,2,4,49,4,2,2,8,1,117,5,2980925,1,17,2,1,,,,
8,2,4,6,5,2,2,9,67,303,3,544654,1,,,1,,52,,5
6,1,3,13,5,2,2,5,38,501,8,886873,,,1,1,,,,
6,2,4,6,5,2,2,9,38,231,4,221543,,,4,,4,47,,5
3,1,3,48,5,2,2,7,24,370,3,2884186,,,2,,1,38,36,
8,1,1,25,5,2,2,1,67,362,3,1429569,,49,,1,,,,1
9,1,3,12,4,2,2,5,68,370,3,717392,2,15,2,,,26,373,
8,1,3,48,5,2,2,7,67,303,3,2853599,,,4,,,,,5
6,2,2,19,4,2,2,4,45,233,4,1192173,4,,,,,,,
1,2,1,9,4,2,2,1,1,120,5,636946,4,,,,6,,,
6,2,4,6,5,2,2,9,38,210,4,331465,,,,,,,,
9,1,4,41,4,2,2,9,68,363,3,2416994,9,,,,7,,,
8,1,4,6,5,2,2,9,67,303,3,377714,,,,,,7,,
7,2,3,40,5,2,2,7,64,511,8,2376709,,,2,1,,,,
9,1,3,40,4,2,2,7,68,303,3,2360517,,,,,,31,,
1,1,3,12,4,2,2,5,1,109,5,718425,,,2,,,3,168,7
6,1,1,34,4,2,2,2,38,231,4,1855896,4,16,1,,,45,,7
8,1,4,6,5,2,2,9,67,303,3,434783,,,1,,,,,
9,1,3,12,4,2,2,5,68,370,3,813992,,,,,,,,
1,1,3,12,5,2,2,5,1,235,4,777593,,56,,,4,14,,2
9,1,4,4,4,2,2,8,68,303,3,95240,,,,1,3,,,8
1,2,1,42,4,2,2,2,1,147,5,2495903,,24,,,,,,
9,1,3,12,4,2,2,5,68,303,3,717757,,,,1,,,,
1,2,2,39,5,2,2,3,1,138,5,2236614,9,17,,,,,,2
1,2,3,37,4,2,2,5,1,134,5,2184049,,,,,4,,15,
1,2,3,51,4,2,2,5,1,140,5,3055949,,,3,,9,,,8
6,2,3,37,4,2,2,5,43,207,4,2152934,,,,,5,44,,
6,1,4,6,4,2,2,9,43,240,4,336947,2,,2,,,,,
1,2,4,8,5,2,2,8,1,163,5,569429,2,39,,,7,,,
1,1,3,12,4,2,2,5,1,139,5,839238,,,,,,27,162,
8,2,2,20,5,2,2,4,67,301,7,1216858,,,,1,5,,,
6,2,4,6,5,2,2,9,55,238,4,311726,,,,,,68,,
8,2,4,32,5,2,1,8,67,303,3,1769741,9,42,,,,,,4
2,1,3,24,4,2,1,5,2,407,6,1363199,,40,,,,,,
8,2,4,6,4,2,2,9,67,303,3,366966,,50,2,,,,,
9,2,1,36,5,2,2,2,68,314,3,2034841,3,37,,1,,,,
6,2,4,6,4,2,2,9,43,207,4,364215,,,,,,,,
8,2,4,6,5,2,2,9,67,303,3,328059,2,46,1,,1,5,,
1,1,3,12,4,2,1,5,1,327,3,826971,2,,,1,,43,,
1,1,3,48,5,2,2,7,1,373,3,2945151,,9,3,1,7,,,6
9,1,3,48,4,2,2,7,68,303,3,2946914,,47,5,1,,33,,
1,2,4,6,5,2,2,9,1,224,4,176272,1,,,,6,33,442,
6,2,1,36,5,2,2,2,43,207,4,2107792,,,3,1,,,,
6,2,3,13,4,2,2,5,56,242,4,882849,,,,,3,,,
8,1,4,4,4,2,2,8,67,303,3,127363,,39,,,,,,2
6,1,1,34,5,2,2,2,38,210,4,1887142,,,,,5,40,,
6,2,4,53,4,2,2,9,49,217,4,3092747,,,,,,61,,
8,1,4,6,4,2,1,9,67,303,3,236040,1,,1,,,34,40,
6,1,4,6,4,2,2,9,38,210,4,343978,,,,,,56,,
6,2,2,55,4,2,2,3,45,233,4,3223293,,4,,,,,,
6,1,3,13,4,2,2,5,38,210,4,941625,,,,,,26,,1
6,1,3,13,4,2,2,5,57,247,4,874239,,,,,,36,,
9,1,4,6,4,2,2,9,68,303,3,538942,,40,,,,18,,
9,2,1,25,4,2,2,1,68,329,3,1450911,2,21,,,,,,
6,1,3,12,4,2,2,5,43,207,4,766137,1,,,,,,,
9,2,3,12,5,2,1,5,68,362,3,772592,,,,1,1,37,,
8,1,4,6,5,2,2,9,67,303,3,314813,,,2,1,7,65,,
8,2,4,6,4,2,2,9,67,303,3,326148,,55,,1,,3,,
6,1,4,6,4,2,2,9,43,226,4,345904,,,1,,2,,,1
6,2,3,12,4,2,2,5,57,247,4,838608,,4,5,1,,,,5
8,1,1,36,4,2,2,2,67,315,3,1927362,,,3,,7,,,7
9,2,1,36,4,2,2,2,68,362,3,2012984,,,,,,,50,5
9,2,1,25,5,2,2,1,68,329,3,1470156,,,,,3,,,
6,2,4,6,4,2,2,9,57,247,4,199713,3,2,,,,,330,
2,1,3,28,5,2,2,6,2,467,6,1634156,,,4,,,,,
1,1,3,48,4,2,2,7,1,213,4,2841537,9,10,,,,,,
9,1,3,12,4,2,2,5,68,327,3,658637,4,,,,,,5,5
6,1,2,17,4,2,2,3,45,233,4,1040577,,,5,1,,,,2
8,1,1,36,5,2,2,2,67,329,3,2053493,,17,4,1,5,,,
6,1,4,6,4,2,2,9,45,233,4,216668,,55,,1,,,,
9,2,1,36,4,2,2,2,68,329,3,1943001,,47,,,,53,430,5
6,2,2,20,5,2,2,4,57,247,4,1231463,4,,,,,,449,
6,2,4,8,4,2,2,8,43,209,4,568446,,,,1,5,,,
1,1,4,6,5,2,2,9,1,162,5,227975,,,,1,,,,
8,2,2,17,4,2,2,3,67,303,3,991732,,,,,,,372,7
1,2,3,48,5,2,2,7,1,501,8,2883019,,,,,,,,
1,2,4,41,4,2,2,9,1,301,7,2412931,,,3,1,6,,,8
2,1,4,6,4,2,2,9,2,429,6,199062,,,3,,,,217,
9,1,3,12,5,2,2,5,68,303,3,706066,,29,,,8,32,,
6,2,4,6,5,2,2,9,57,200,4,474127,,,,,9,,,3
2,2,3,13,4,2,2,5,2,333,3,930872,,,,,,,228,
9,2,4,4,5,2,2,8,68,303,3,60811,,51,,1,,,,5
6,2,4,6,4,2,2,9,43,207,4,412635,1,,,,,59,,
9,2,3,48,4,2,2,7,68,303,3,2785134,,,,,,,128,
2,2,1,36,5,2,1,2,2,332,3,1912210,,4,2,1,7,,,
2,2,4,6,4,2,2,9,2,421,6,215438,,,,,,,511,3
6,2,1,34,5,2,2,2,38,210,4,1859320,,,,,,,,
9,2,3,48,5,2,2,7,68,303,3,2858071,,,,1,,,,2
2,1,1,42,5,2,2,2,2,467,6,2496390,,,3,,,,,7
9,2,3,12,4,2,2,5,68,327,3,831118,,,,,,,,
1,2,2,17,4,2,1,3,1,119,5,1052737,,,,,,,37,
1,2,1,36,4,2,1,2,1,365,3,1968782,,,5,,,,,
1,2,1,42,4,2,2,2,1,139,5,2439186,9,,,,7,58,,
3,1,2,17,4,2,2,3,16,303,3,1098557,,,,,,4,,
6,2,1,36,4,2,1,2,45,233,4,1990537,,31,3,,,46,,5
6,2,4,6,4,2,2,9,43,240,4,466056,,,,,,,,1
6,1,1,34,4,2,2,2,45,233,4,1818485,,,,,,23,,7
1,2,4,6,5,2,2,9,1,301,7,301217,,,2,1,,,,
6,1,4,6,4,2,2,9,43,209,4,535375,2,,,,2,,,
6,2,1,34,4,2,2,2,43,247,4,1871870,,,5,,1,53,,
6,2,1,34,5,2,1,2,44,207,4,1875043,,,,1,8,,,
6,1,3,13,4,2,2,5,38,233,4,880795,,,1,,,2,,
6,2,1,36,4,2,2,2,38,210,4,2052811,,,,,,,,
9,1,4,6,4,2,2,9,68,303,3,238673,,,,1,,56,,
8,2,3,12,5,2,2,5,67,303,3,793444,1,,,,,,,4
9,2,3,12,5,2,1,5,68,329,3,745406,,35,,,5,23,,
9,1,3,12,4,2,2,5,68,364,3,773666,,,,,,,,
6,1,1,25,4,2,2,1,38,210,4,1456181,4,56,1,,,,,1
9,1,2,17,5,2,1,3,68,303,3,1063236,,45,,,,,156,2
9,2,4,6,4,2,1,9,68,303,3,178722,,40,5,1,,,,
8,2,3,12,4,2,2,5,67,327,3,669961,,,,,,60,,1
8,2,3,51,4,2,2,5,67,314,3,3051600,,32,,,,,,
6,1,4,41,4,2,2,9,57,247,4,2416209,,,,,4,,,
6,1,4,6,5,2,2,9,45,233,4,353242,,,,,,,,
6,1,4,53,5,2,2,9,42,206,4,3110427,,,1,1,5,12,,5
6,2,3,37,4,2,2,5,38,210,4,2155814,,32,,1,2,41,,
9,1,1,36,4,2,2,2,68,329,3,1997507,,,2,,,,523,
6,1,3,24,5,2,2,5,38,210,4,1350006,1,,,,2,,53,
6,1,1,42,4,2,2,2,43,247,4,2461048,,,,1,,,,
6,1,1,34,4,2,2,2,49,217,4,1846209,,,,1,,30,,
8,1,1,36,4,2,2,2,67,365,3,2031490,,,2,1,,,,
6,2,3,48,4,2,2,7,57,233,4,2821150,,,,,,,,
8,2,4,53,4,2,2,9,67,303,3,3086822,,,,,,,,
