RAC1P,SEX,REGION,ST,CIT,NATIVITY,DIS,DIVISION,RAC2P,POBP,WAOB,ID
1,2,4,6,4,2,2,9,1,120,5,409748
8,1,1,34,5,2,2,2,1,414,6,1872246
1,1,1,25,5,1,2,1,1,138,2,1448262
6,2,4,6,1,2,2,9,44,156,2,279924
1,1,2,8,4,2,2,2,35,151,5,2007864
6,1,4,45,5,2,2,9,38,210,4,202147
6,1,3,48,4,2,2,7,57,149,4,2937002
1,1,2,39,5,2,2,3,1,400,6,2239116
1,1,3,34,4,2,2,2,1,110,5,1885507
6,1,2,55,4,2,2,3,45,233,4,3195739
9,2,3,12,4,1,2,5,68,414,3,719066
6,1,4,6,2,2,2,9,3,217,3,518257
8,2,4,6,4,1,2,9,67,315,8,342660
1,2,4,4,5,2,2,8,1,417,1,113282
8,1,3,48,4,2,2,7,48,303,6,2777745
5,1,3,13,5,2,2,5,57,247,4,925932
1,2,4,8,5,1,2,8,1,301,7,589970
1,2,3,48,4,2,2,7,1,139,5,2905755
5,2,1,25,4,2,1,1,39,332,3,1474204
6,2,4,34,5,2,2,2,38,213,4,1887044
9,1,3,47,5,2,2,6,48,313,3,2666973
9,2,1,36,5,2,2,2,68,215,4,1978993
8,1,4,32,5,2,2,8,4,303,3,1756003
1,2,2,18,4,2,2,3,1,110,5,1156882
1,1,2,17,4,2,2,3,1,148,5,1085807
8,1,1,36,5,1,1,2,67,329,3,1922848
9,2,1,23,5,1,1,2,68,399,3,1870434
9,2,1,34,4,2,2,2,68,362,3,1849336
9,1,3,48,5,2,2,7,68,303,3,2944946
9,2,3,51,4,2,2,5,68,329,3,3035264
6,2,9,31,5,2,2,4,43,224,4,1747696
1,1,4,6,4,2,1,9,1,223,4,171394
2,1,3,48,5,2,2,7,67,303,3,2759250
8,2,4,6,4,2,1,9,67,327,3,534069
9,2,3,21,4,2,2,6,68,303,3,1270231
6,1,4,6,5,2,1,9,45,233,4,169858
6,2,9,37,5,2,2,5,48,247,4,2118152
8,2,4,32,5,2,2,8,67,303,3,1781268
9,1,4,53,4,2,2,9,68,231,4,3140697
3,1,1,36,3,1,1,2,43,207,1,1927223
8,1,1,36,5,2,2,2,67,313,3,1998652
5,1,3,48,4,2,2,7,1,362,3,2701195
9,1,4,55,5,2,2,8,67,327,7,579997
6,2,4,15,4,2,2,9,48,215,4,954159
1,2,4,6,4,2,2,9,38,210,4,366444
9,1,1,36,3,2,2,2,68,303,3,1922824
8,1,1,36,5,2,2,2,38,210,4,1943179
9,2,1,23,4,2,2,2,59,364,3,1865910
7,1,4,6,4,2,2,9,43,364,4,492350
1,1,1,6,2,2,2,9,1,303,3,362743
4,1,4,6,4,2,2,9,67,312,3,378161
8,1,4,8,4,2,2,8,67,303,3,567548
8,2,3,12,5,2,1,5,68,461,4,801532
6,1,3,27,4,2,2,7,61,303,3,2914018
9,2,4,4,4,2,2,8,68,303,3,98075
8,2,9,47,5,2,2,9,43,207,4,517696
8,1,4,6,5,2,2,9,67,303,3,419122
1,2,2,37,5,1,2,5,1,110,5,2198798
8,1,3,48,4,2,1,7,67,303,3,2727369
1,1,1,9,4,2,1,1,1,119,5,618825
6,1,4,19,5,2,2,9,49,217,4,332282
1,2,4,56,5,2,2,8,1,301,7,3244365
6,1,3,48,4,2,2,7,16,247,4,2859397
1,1,3,36,4,2,2,7,1,303,3,2955656
5,2,3,48,5,2,2,7,68,303,1,2848081
2,2,4,6,4,2,2,9,2,416,6,511624
8,1,4,6,1,2,2,9,67,362,3,403722
8,1,4,6,4,2,2,9,67,313,3,310723
9,2,2,4,5,2,2,8,68,303,3,63155
6,1,4,6,4,2,2,9,43,207,4,331928
4,1,4,6,4,2,2,9,4,314,3,280957
6,1,4,40,5,2,2,9,44,240,4,507693
6,1,4,6,4,2,2,9,43,207,4,387040
6,2,3,13,4,1,2,5,31,372,6,903937
8,2,3,12,5,2,2,5,67,313,3,788090
8,2,4,6,2,2,2,9,67,303,3,433811
6,2,4,42,4,2,1,9,49,217,2,3117904
6,1,4,6,2,2,2,9,46,223,4,454266
6,2,4,6,5,1,2,9,48,215,4,329834
6,1,2,39,4,2,2,3,28,203,4,2341032
9,1,3,48,4,2,1,7,9,303,3,2867903
2,1,3,51,4,2,2,5,48,229,1,3004322
9,1,9,13,5,2,1,5,68,303,3,925212
9,2,2,6,4,2,2,9,68,303,3,412175
2,1,2,39,4,2,2,3,2,442,6,2317922
7,2,1,34,4,2,2,2,2,239,6,1811130
9,2,4,6,4,2,2,9,68,303,3,529839
6,1,4,6,4,2,2,9,43,207,4,312619
4,1,4,40,4,2,2,9,67,35,3,240723
9,1,1,25,4,2,2,1,68,28,3,1446914
8,2,4,6,4,2,1,9,67,303,3,215561
2,1,4,6,5,1,2,9,43,512,4,375522
6,2,3,6,1,2,2,9,40,247,4,338011
6,2,4,6,4,2,2,9,45,233,4,494046
6,1,4,6,4,2,2,9,43,48,4,281044
8,2,4,6,5,2,2,9,61,303,7,462858
1,1,2,26,4,2,2,3,1,213,7,1545599
1,1,2,48,5,2,1,7,1,139,3,2745004
9,2,3,12,4,2,1,5,68,363,3,771342
4,2,4,6,4,1,2,9,45,233,4,509994
6,1,4,6,5,2,2,9,43,217,4,484622
2,1,4,36,4,2,2,2,68,329,3,1929694
9,2,4,32,4,2,1,8,68,327,3,1768307
8,1,2,18,5,2,2,3,67,303,3,1137019
2,2,2,37,4,2,2,5,1,128,5,1377664
6,2,4,41,4,2,2,9,58,440,4,2415223
6,1,1,25,5,2,2,1,43,233,2,1425021
5,1,3,12,4,2,2,5,4,332,3,711322
1,1,2,48,4,2,2,3,1,104,5,994893
4,1,1,6,4,1,2,9,49,217,4,515557
2,2,9,24,1,2,2,5,64,149,3,1357345
9,1,3,12,4,2,2,7,68,373,3,1293523
2,1,1,32,4,2,2,2,2,416,3,1968253
6,1,1,50,1,1,2,1,21,203,4,2992624
9,2,3,12,4,1,2,5,68,329,3,668946
9,2,3,40,4,2,2,7,68,370,3,2380342
9,1,3,49,5,2,2,7,32,303,3,2767928
6,2,3,48,4,2,2,7,11,247,4,2879582
6,2,1,36,3,2,2,2,43,207,6,2041957
9,2,3,12,4,2,2,5,68,327,3,846440
6,2,2,34,5,2,2,2,43,247,4,1815489
6,1,3,24,5,2,2,5,43,207,4,1381620
1,2,2,55,3,2,2,3,1,303,3,3222274
6,1,3,24,5,2,2,5,50,207,4,1375516
7,2,3,40,4,2,1,7,56,242,4,2363407
1,1,9,25,5,2,2,1,1,364,3,1469500
8,1,1,25,5,2,2,1,1,139,5,1405358
4,1,2,53,5,2,2,1,57,451,4,1417031
2,1,3,24,4,1,2,5,2,429,6,1371602
6,1,1,36,5,2,1,2,43,207,4,2033762
2,2,9,22,4,2,2,5,2,341,3,2196636
1,2,3,13,4,2,2,5,1,21,4,909146
6,1,4,6,4,2,2,9,43,205,6,287291
6,2,2,20,4,2,2,4,45,233,4,1230882
8,2,4,6,4,2,2,9,57,247,4,366627
1,1,3,36,4,2,2,2,6,151,5,2015425
6,1,2,26,4,2,2,3,45,233,4,1559040
2,1,3,22,5,2,2,7,57,247,4,1324744
3,2,3,12,4,2,2,5,51,327,3,830027
1,2,4,6,1,2,1,9,34,139,5,281767
1,2,4,53,4,2,2,9,1,164,5,3086889
6,2,4,6,4,2,2,9,21,301,3,320237
8,1,3,12,4,2,1,5,67,365,7,795439
8,1,3,21,5,2,2,6,67,303,3,1241085
6,2,3,6,4,2,2,9,38,210,4,376229
6,2,3,6,5,2,2,9,38,210,7,205700
6,2,4,6,5,1,1,9,38,210,4,350190
6,2,4,6,5,2,2,9,57,247,7,236090
8,2,4,32,5,2,2,8,67,303,3,1757195
4,1,3,37,5,2,1,5,67,303,3,2111215
2,2,1,26,5,2,2,5,2,333,3,801928
9,1,9,13,4,2,2,5,68,327,3,919391
9,2,4,53,1,1,2,9,52,164,3,3144640
6,2,3,45,5,2,2,5,57,18,4,2589781
9,2,9,4,4,2,2,8,68,327,3,117613
1,2,1,34,4,2,2,2,1,120,5,1821146
2,1,4,6,4,2,2,9,46,206,4,209900
1,2,1,36,4,2,1,2,1,329,3,1994914
9,1,3,12,5,2,2,5,68,303,3,733231
6,2,3,40,4,2,2,7,53,233,4,2347712
8,2,1,34,5,2,2,2,67,444,3,1857887
1,2,4,6,4,2,2,9,1,169,5,408805
9,2,3,40,4,2,1,5,68,327,1,723678
3,1,3,48,5,2,1,7,27,313,3,2804637
1,2,3,40,5,1,2,7,1,301,5,2344650
9,1,3,12,5,2,2,5,68,160,3,845670
3,2,3,12,1,1,1,5,68,327,3,662084
2,2,3,13,4,2,2,5,2,427,6,879612
6,2,4,6,4,1,2,9,45,233,4,425282
6,2,4,6,4,2,2,9,57,210,4,523704
2,2,1,17,4,2,2,2,35,314,3,2061757
9,1,4,6,4,2,1,9,68,303,3,329159
6,1,4,6,5,1,2,9,65,233,4,383032
6,1,3,53,5,2,2,5,48,167,4,3020030
8,2,3,12,3,2,2,5,67,327,3,719387
1,2,4,6,5,2,2,9,1,372,3,501652
8,1,2,27,3,2,2,4,67,53,3,1610994
9,2,3,12,4,2,2,5,39,102,4,709530
8,1,3,37,5,2,2,5,67,312,3,2188159
4,2,2,12,4,1,2,5,68,338,3,824684
3,2,3,48,5,2,2,7,67,303,5,2803157
1,2,1,34,5,2,2,2,1,239,4,1817987
1,1,4,6,1,2,2,9,1,158,4,426960
2,1,4,53,5,2,2,9,29,425,6,3142958
6,2,4,6,4,1,2,9,36,233,3,333615
1,2,4,25,4,2,2,1,1,132,5,1422867
6,1,4,6,5,2,2,9,43,209,4,321564
6,2,3,48,4,1,2,7,57,18,4,2716273
9,1,3,48,5,2,1,7,68,303,3,2704057
1,1,2,18,4,2,2,5,35,163,5,1357959
9,2,3,12,4,2,2,5,68,327,3,779907
9,2,2,17,4,1,1,3,38,210,1,1003099
6,1,3,12,4,2,2,5,57,247,4,735879
2,1,4,36,4,2,2,2,2,333,3,2010216
2,1,4,53,1,1,2,9,1,449,6,3131483
9,2,3,12,5,2,1,5,68,327,3,658404
6,2,4,9,5,2,2,9,38,210,4,314449
4,1,9,6,4,2,2,9,39,303,2,501295
8,2,3,17,4,2,2,3,67,303,5,1105539
6,1,4,6,4,2,2,9,31,301,7,397387
8,2,4,6,5,2,2,9,67,303,3,476451
8,2,3,48,5,2,2,7,67,210,4,2949987
3,1,1,36,5,2,2,2,27,303,3,2061841
5,2,3,17,5,2,1,5,28,327,4,886070
9,2,4,6,4,2,1,9,68,303,3,258947
1,2,3,48,4,2,2,7,1,303,3,2845064
1,2,4,6,5,2,2,9,1,139,5,478900
6,2,3,53,4,2,2,9,42,206,4,3143915
6,2,2,17,4,2,2,3,45,233,8,985657
9,2,4,6,4,2,1,9,67,303,7,352245
6,1,4,22,1,2,2,9,43,207,4,351620
1,2,1,25,3,2,1,1,1,362,3,1461819
1,2,9,6,4,2,1,9,1,212,4,494836
9,2,1,36,5,2,2,2,68,365,3,2019009
8,2,1,6,5,2,2,2,67,329,3,2014411
8,2,9,31,5,1,1,7,68,303,3,2700356
6,2,4,6,3,2,1,9,46,223,4,346789
8,2,2,18,5,2,2,3,67,15,3,1131671
1,2,4,53,1,2,1,9,57,247,4,3083444
6,1,1,36,4,2,2,2,43,207,4,1956828
2,1,4,25,4,1,2,1,1,130,5,1446953
1,2,1,9,4,2,2,1,1,47,8,618370
1,1,4,6,5,2,2,9,1,216,5,296675
8,2,4,6,4,2,2,9,38,207,4,211474
8,1,1,36,4,1,2,2,15,329,3,2004166
7,2,4,6,4,2,2,9,57,247,8,205817
2,1,1,50,5,2,2,2,2,332,3,1810378
8,2,3,4,4,1,2,5,2,303,3,824916
1,1,4,32,4,2,2,8,1,136,7,1755877
8,1,2,53,4,2,2,3,67,303,3,1080493
6,2,4,6,4,2,2,9,58,200,4,176801
8,2,4,6,4,2,2,9,38,312,3,222491
6,2,1,36,4,2,2,2,43,5,3,1924588
8,2,3,48,4,2,2,7,67,110,5,2896143
1,1,4,30,4,2,2,2,20,138,5,1953336
6,2,2,12,5,2,2,5,45,33,4,801004
6,2,1,34,5,2,2,2,38,210,4,1877212
1,1,4,6,5,2,2,9,1,164,5,261603
9,1,1,25,4,2,1,1,2,329,3,1452782
6,1,4,6,4,2,2,9,45,233,4,466338
8,2,4,6,5,2,1,9,67,108,3,417561
4,1,4,6,5,2,2,9,6,362,8,203626
1,1,4,25,1,2,2,1,1,150,5,1477822
6,2,3,51,4,2,2,5,49,449,6,3080387
6,1,1,12,4,2,2,5,58,315,3,777226
1,1,2,20,4,2,2,4,1,247,4,1220854
2,2,4,6,5,2,2,9,2,313,5,166896
1,1,2,18,4,2,1,3,1,110,5,1145842
1,1,9,6,2,2,2,9,1,138,5,480212
8,2,4,41,3,2,2,9,67,303,3,2415950
9,2,1,34,5,2,2,2,68,372,3,1866423
6,2,1,36,4,2,2,2,43,207,4,1954160
9,1,4,6,4,2,2,9,68,303,3,452885
6,2,1,25,4,2,2,1,38,210,4,1456636
6,1,1,9,5,2,2,1,54,231,4,616046
1,1,2,29,4,2,2,4,4,301,7,1712827
2,2,3,9,5,2,2,5,2,332,3,731661
6,1,2,26,4,2,2,3,47,207,4,1519798
6,1,4,6,2,2,2,9,57,247,4,309724
6,1,3,48,4,2,2,7,55,53,4,2743876
8,2,1,36,5,2,2,2,67,329,8,2015003
9,1,1,44,4,2,2,1,21,408,6,2562629
6,1,3,21,4,2,2,6,3,217,3,1281755
6,2,4,6,5,2,2,9,43,207,4,225378
6,2,4,32,4,2,2,8,45,233,4,1766052
1,2,2,54,4,2,2,9,1,164,5,2396373
6,2,3,51,4,1,2,5,38,341,1,3080757
2,1,1,25,2,1,2,1,2,440,3,1477706
6,1,2,18,5,2,2,3,38,210,4,1167179
1,1,1,25,5,2,2,1,1,119,5,1415405
8,2,1,30,4,2,2,9,25,110,5,274149
7,1,9,36,4,2,2,2,1,163,5,2065022
1,2,3,12,4,1,2,5,1,327,3,668600
1,2,4,15,1,2,2,9,6,163,5,951034
6,1,4,35,5,2,2,8,54,327,3,1909838
1,2,2,17,5,1,2,3,1,163,5,1086370
1,1,1,34,4,2,2,2,1,120,5,1881273
8,2,3,48,5,1,2,7,67,303,3,2895835
9,2,3,47,5,2,2,6,68,303,3,2685281
9,2,9,12,4,1,2,5,68,370,3,736014
1,1,1,36,4,1,2,2,1,300,7,1962715
1,1,1,34,4,2,2,2,68,362,3,1849895
6,1,1,34,2,2,2,2,43,209,4,1850043
1,1,2,36,3,2,1,2,1,310,6,1928817
1,1,3,48,4,2,2,7,1,117,4,2905727
1,2,2,12,4,1,2,5,1,148,5,847456
9,2,1,36,4,1,1,2,68,368,3,2058025
9,2,2,17,4,2,2,3,68,303,3,998043
1,1,1,36,4,2,2,2,1,301,7,2056636
6,1,3,12,4,2,2,5,57,247,4,683038
6,1,3,12,4,2,2,5,57,247,4,751969
2,2,3,13,4,2,2,5,2,333,3,947939
2,2,3,13,4,2,2,5,2,333,3,930872
6,1,4,6,4,2,2,9,56,247,4,196874
1,2,1,42,3,2,2,2,1,149,5,2534365
1,1,3,8,3,2,2,8,3,164,5,568976
6,2,1,36,5,2,2,2,44,240,4,1982014
1,1,1,36,1,2,2,2,1,239,4,1938290
6,1,3,48,4,1,1,7,46,202,4,2808434
1,1,3,12,3,1,2,5,1,214,4,699080
1,1,3,48,4,2,1,7,1,110,6,2836738
1,2,1,34,5,2,2,2,17,129,5,1862775
6,2,3,48,4,2,2,7,59,314,4,2817760
9,1,3,51,4,2,2,5,68,312,3,3036538
8,1,4,32,4,2,2,8,67,303,3,1765303
9,2,3,12,5,1,2,5,68,164,3,787823
1,1,4,6,4,2,2,9,1,212,4,389555
6,2,2,20,4,2,2,4,38,210,4,1221566
6,1,3,51,5,2,2,5,43,207,4,3056299
1,2,3,47,1,1,1,6,1,47,1,2624853
1,2,1,33,3,1,2,9,1,215,4,351263
1,2,4,4,3,1,2,8,1,235,4,128300
2,1,2,29,1,1,2,4,2,29,1,1704592
1,1,2,19,1,1,2,4,1,425,1,1208558
1,1,3,47,1,1,2,6,1,47,1,2639858
1,1,3,13,1,1,2,5,1,13,1,944776
1,1,4,6,1,1,2,9,1,51,1,421153
1,1,3,51,1,1,2,5,1,51,1,3041555
1,1,4,4,1,1,1,8,1,4,7,73034
8,1,4,35,1,1,2,8,39,35,1,1897294
1,1,2,19,1,1,2,4,1,17,1,1196345
1,2,3,12,1,1,2,5,1,12,1,721861
1,2,2,19,1,1,2,4,1,19,1,1183723
8,2,4,6,1,1,1,9,67,6,1,447843
3,1,3,24,1,1,2,5,2,24,1,1352039
1,2,3,47,1,2,2,6,1,47,1,2673634
1,2,4,49,1,1,2,8,1,16,1,2973207
1,2,1,36,1,1,1,2,1,36,1,1923467
1,1,3,48,1,1,2,7,1,48,1,2863280
1,2,1,36,1,1,2,2,1,168,1,1988412
1,1,3,1,1,1,2,6,1,1,1,1760
1,2,1,42,1,1,2,2,1,42,1,2436314
8,2,3,22,1,1,2,7,67,22,1,1313005
9,1,3,12,1,1,2,5,68,18,1,687406
9,1,1,42,1,1,2,2,68,42,1,2539318
1,2,4,53,1,1,2,9,1,53,1,3141679
1,1,3,5,1,1,1,7,1,6,1,138289
1,1,3,51,1,1,2,5,1,51,1,3051971
1,2,1,36,1,1,2,2,1,36,1,2014168
1,1,1,36,1,1,2,2,1,36,1,1964751
1,1,2,19,1,1,2,4,1,17,1,1200227
1,1,1,34,1,1,2,2,1,9,1,1873506
1,1,2,17,1,1,2,3,1,17,1,1029517
1,1,1,44,1,1,1,1,38,44,1,2554042
5,1,2,18,1,1,2,3,1,18,6,1119789
1,2,3,47,1,1,2,6,1,51,1,2634991
1,1,1,36,1,1,2,2,1,36,1,1999816
6,1,4,6,1,1,2,9,47,6,1,495895
1,2,9,34,1,1,2,2,1,34,1,1847603
1,2,2,55,1,1,1,3,36,55,1,3180117
6,1,3,13,1,1,2,5,38,13,1,907070
1,1,4,53,1,1,1,9,1,53,4,3111894
1,1,3,51,1,1,2,5,1,42,1,3015712
1,2,2,18,1,1,2,3,1,36,1,1172415
1,2,2,17,1,1,2,3,1,17,1,1034005
9,1,1,25,1,1,2,1,68,25,3,1445553
1,1,3,48,1,1,2,7,68,48,1,2897879
1,2,3,45,1,1,2,5,1,37,1,2599749
2,1,3,12,1,1,2,5,2,12,1,655206
7,2,1,42,1,1,2,2,1,42,1,2546479
1,2,3,48,1,1,2,7,1,6,1,2802088
1,2,2,18,1,1,2,3,1,18,1,1141078
1,1,1,23,1,1,2,1,1,50,1,1336533
1,1,3,12,1,1,2,5,1,229,1,670682
2,1,3,13,1,1,2,5,15,22,1,901061
2,1,3,47,1,1,1,6,2,47,1,2640862
1,2,2,31,1,1,2,4,1,31,1,1736603
1,1,2,20,1,1,1,4,1,20,1,1209904
