RAC1P,SEX,REGION,ST,CIT,NATIVITY,DIS,DIVISION,RAC2P,POBP,WAOB,ID,REGION_dirty,ST_dirty,CIT_dirty,NATIVITY_dirty,RAC1P_dirty,RAC2P_dirty,POBP_dirty,WAOB_dirty
8,2,3,48,5,2,2,7,67,312,3,2931291,,,,,,,,
9,2,1,36,4,2,2,2,68,373,3,2071806,,,,,,,,
1,2,4,6,5,2,2,9,1,164,5,513042,,,3,,,,,
9,2,3,48,5,2,2,7,68,303,3,2787040,,,,,,,,
8,1,3,48,5,2,2,7,67,303,3,2707254,,,,,,,,
1,1,4,6,4,2,2,9,1,212,4,333237,,,,,,62,152,
6,2,3,12,5,2,2,5,39,202,4,773257,,,,,,,,
8,2,1,36,5,2,2,2,67,329,3,2007048,,,,,,,,
9,2,1,44,4,2,2,1,68,370,3,2555518,,,,,5,,,
1,2,1,36,5,2,2,2,1,128,5,1997684,,,,,,,,
6,1,4,6,4,2,2,9,38,210,4,439213,,,,,,,,
2,2,1,50,4,2,2,1,2,425,6,2991050,,,,,9,3,,
6,1,4,6,4,2,2,9,38,453,6,328840,,,3,,,,,
9,2,3,12,5,2,2,5,68,373,3,814111,,,,,,,,
1,1,2,18,5,2,2,3,1,315,3,1135114,3,,,,,,,7
2,1,2,20,4,2,2,4,2,427,6,1220073,,,,,,,,
9,2,1,25,5,2,2,1,68,238,4,1444126,,,,,,37,,
1,1,3,48,4,2,2,7,1,163,5,2715719,,,1,,,,,
9,2,1,36,5,2,2,2,68,314,3,1979114,,1,,,,,,
6,1,3,13,4,2,2,5,57,247,4,934513,1,47,,,,,,
9,2,3,12,5,2,2,5,68,360,3,787793,4,,,,,,,1
1,2,3,47,4,2,2,6,1,301,7,2630718,,,,,,,,
9,1,3,37,4,2,2,5,68,303,3,2212026,1,13,,,,,,
9,1,3,48,5,2,2,7,68,303,3,2753588,,,,,,,,
9,2,4,6,4,2,2,9,68,508,8,247808,,,,,4,,,
8,1,1,34,4,2,2,2,67,312,3,1835749,,46,,,2,,,6
8,2,4,4,4,2,2,8,67,303,3,72459,,,,,,,,6
8,2,4,6,4,2,2,9,67,303,3,425845,,,,,,,,
6,2,1,36,5,2,1,2,39,202,4,1942287,,2,,,,,,
1,2,4,6,5,2,2,9,1,138,5,241371,,,,,,,,2
5,2,3,48,5,2,2,7,37,303,3,2886152,,,,,,,49,
6,2,1,34,4,2,2,2,45,233,4,1823693,,,,,,2,,8
8,1,4,6,5,2,2,9,67,303,3,313185,,,,1,,,,1
6,2,2,17,4,2,2,3,45,233,4,1083851,,,,1,,,,
1,1,1,44,4,2,2,1,1,515,8,2559533,,,,,,,,
8,1,4,6,4,2,2,9,67,303,3,259292,,,,1,,,,
6,1,1,36,4,2,2,2,43,207,4,2017323,,,,,,,,
8,2,1,36,5,2,2,2,67,303,3,2051809,4,,,,,53,,
1,1,1,36,4,2,1,2,1,120,5,2022538,,,,,,,,
1,2,4,41,5,2,2,9,1,214,4,2418306,,23,,1,,66,,
9,2,3,51,5,2,2,5,68,314,3,3032644,1,,,,,,,4
6,2,4,32,5,2,2,8,52,228,4,1772393,,,3,,,,,
9,1,3,37,4,2,1,5,68,327,3,2179813,9,,,,,19,,
6,1,1,42,4,2,2,2,38,210,4,2444724,,,,,,,,
1,2,3,48,5,2,2,7,1,303,3,2951944,,,,,8,,,
1,2,1,25,5,2,2,1,1,214,4,1471263,,54,,,,,,
8,1,3,37,5,2,2,5,67,303,3,2152382,,,,,,,,
1,2,4,6,4,2,2,9,1,303,3,351004,,,,,,,,
6,2,4,6,4,2,2,9,45,233,4,297232,9,,,,3,,,
1,2,3,51,5,2,2,5,1,303,3,3066406,,,,,,,,
1,2,2,17,4,2,2,3,1,128,5,1071440,,,,,,,,
6,2,4,6,5,2,2,9,38,210,4,192048,,,4,,,,,
1,1,3,48,5,2,2,7,1,303,3,2884473,,,1,,,,,
1,1,1,36,4,2,2,2,1,139,5,2052565,,,,,,,,
9,2,1,34,4,2,2,2,68,365,3,1847209,,,,,,64,,
9,2,3,48,5,2,2,7,68,303,3,2726875,,,,,4,,,
6,2,4,8,4,2,2,8,41,205,4,583040,9,,,,,,,
1,2,1,42,4,2,2,2,1,163,5,2431833,,,,,,58,,
8,2,1,34,5,2,2,2,67,303,3,1804087,,,,,,,,
6,1,1,34,4,2,1,2,38,210,4,1859060,3,,,,,,,
1,1,4,6,4,2,2,9,1,138,5,482653,,,,,,,,
6,1,4,6,4,2,2,9,38,231,4,420545,,,,,,60,,
8,1,4,16,5,2,2,8,67,303,3,967066,,25,,,,49,,
1,2,3,12,4,2,2,5,1,110,5,721261,9,,,,,,,
6,1,4,6,4,2,1,9,57,247,4,357599,,30,,,,,,
8,1,4,32,4,2,1,8,67,303,3,1758288,,1,,1,,,,
6,1,3,48,4,2,2,7,45,200,4,2774261,,,,,,,,
1,2,3,45,5,2,1,5,1,102,5,2608493,,,,,,,,2
1,2,4,6,4,2,2,9,1,212,4,258479,9,,,,,,,
9,1,1,36,4,2,2,2,68,233,4,1976113,,,3,,,,,6
1,2,2,26,4,2,2,3,1,110,5,1521371,,,3,1,,,,8
2,1,1,9,4,2,2,1,2,329,3,607362,,,,,,,,
6,2,4,6,4,2,2,9,43,207,4,285971,,,,,,,,8
9,1,4,6,5,2,2,9,68,303,3,346161,,,,,,38,,
6,2,4,6,4,2,2,9,57,247,4,520034,,,,,,,,1
9,1,3,12,4,2,2,5,68,327,3,667455,,,1,,,,,
2,2,3,24,5,2,2,5,2,440,6,1375113,,,,,6,,,
2,2,1,42,4,2,2,2,2,407,6,2429507,,32,,,,,,
1,1,1,34,4,2,2,2,1,138,5,1849725,,,,,,,,7
6,1,4,6,4,2,2,9,45,233,4,189664,1,,,,,,512,
2,2,3,12,4,2,2,5,2,332,3,829712,,,,,,,,
6,2,4,6,4,2,2,9,49,217,4,485221,3,,,,,,116,8
1,2,1,34,5,2,2,2,1,301,7,1851528,,,,,,,126,
6,1,2,17,5,2,2,3,38,210,4,1091495,,,,1,,,,3
1,1,3,12,5,2,2,5,1,373,3,720830,,,,1,,,,
1,1,4,6,4,2,2,9,1,301,7,442979,,,,,,,,
1,1,1,34,4,2,2,2,1,157,5,1871562,,32,,,3,,,
2,1,1,25,5,2,1,1,2,408,6,1421660,,32,,,4,39,511,
6,2,4,6,5,2,2,9,38,210,4,435813,3,,,1,,,,
1,2,4,6,4,2,2,9,1,212,4,289763,,,,,,,,
1,2,3,12,4,2,2,5,1,362,3,680327,,39,,,,,,4
6,2,1,36,5,2,2,2,38,209,4,1922224,,,,,,,,
2,2,1,36,4,2,1,2,2,440,6,2084570,,,,,,,,
6,2,3,48,4,2,2,7,43,207,4,2742468,,,,,,,108,6
1,2,1,34,5,2,2,2,1,109,5,1811871,,,,,7,,,3
6,1,4,6,4,2,2,9,57,247,4,340196,,,,,,,,
9,2,3,24,5,2,2,5,68,303,3,1395213,,,3,,,,,
9,1,3,12,5,2,2,5,68,327,3,817091,,,,1,,,,4
6,2,1,42,4,2,1,2,58,246,4,2461030,,40,,1,,,,
6,1,3,12,4,2,2,5,38,210,4,849608,,,,,,,,
1,2,2,17,5,2,2,3,1,110,5,1058933,,,,,,,,
1,1,1,36,4,2,2,2,1,164,5,1962474,,13,,,4,9,,
9,2,2,31,5,2,2,4,68,313,3,1752427,,,,,,,,
8,1,3,48,5,2,2,7,67,303,3,2762042,,,,,,,,
1,1,1,33,5,2,2,1,1,301,7,1793140,,12,,,,,,
6,1,4,6,4,2,2,9,45,233,4,491712,,,,1,,,,
1,2,2,19,5,2,2,4,1,301,7,1196075,,,,,,,,4
6,2,1,36,5,2,2,2,43,207,4,1960703,,,,,4,,,
9,2,3,12,4,2,2,5,68,313,3,829332,,18,,1,,,,8
8,1,4,6,5,2,2,9,67,303,3,537879,,,,1,4,,,6
6,2,4,6,4,2,2,9,45,233,4,517526,,,,,,,,
1,2,3,48,4,2,2,7,1,314,3,2807477,,,,,,,,
1,2,4,6,4,2,2,9,1,120,5,409748,,,,,,,,
1,1,1,34,4,2,2,2,1,414,6,1872246,,,5,,8,,,
1,1,1,25,4,2,2,1,1,138,5,1448262,,,5,1,,,,2
6,2,4,6,4,2,2,9,44,240,4,279924,,,1,,,,156,2
1,1,1,36,4,2,2,2,1,151,5,2007864,2,8,,,,35,,
6,1,4,6,5,2,2,9,38,210,4,202147,,45,,,,,,
6,1,3,48,4,2,2,7,57,247,4,2937002,,,,,,,149,
1,1,2,39,5,2,2,3,1,400,6,2239116,,,,,,,,
1,1,1,34,4,2,2,2,1,110,5,1885507,3,,,,,,,
6,1,2,55,4,2,2,3,45,233,4,3195739,,,,,,,,
9,2,3,12,4,2,2,5,68,333,3,719066,,,,1,,,414,
6,1,4,6,5,2,2,9,49,217,4,518257,,,2,,,3,,3
8,2,4,6,4,2,2,9,67,315,3,342660,,,,1,,,,8
1,2,4,4,5,2,2,8,1,301,7,113282,,,,,,,417,1
8,1,3,48,4,2,2,7,67,303,3,2777745,,,,,,48,,6
6,1,3,13,5,2,2,5,57,247,4,925932,,,,,5,,,
1,2,4,8,5,2,2,8,1,301,7,589970,,,,1,,,,
1,2,3,48,4,2,2,7,1,139,5,2905755,,,,,,,,
9,2,1,25,4,2,1,1,68,332,3,1474204,,,,,5,39,,
6,2,1,34,5,2,2,2,38,210,4,1887044,4,,,,,,213,
9,1,3,47,5,2,2,6,68,313,3,2666973,,,,,,48,,
9,2,1,36,5,2,2,2,68,215,4,1978993,,,,,,,,
8,1,4,32,5,2,2,8,67,303,3,1756003,,,,,,4,,
1,2,2,18,4,2,2,3,1,110,5,1156882,,,,,,,,
1,1,2,17,4,2,2,3,1,148,5,1085807,,,,,,,,
8,1,1,36,5,2,1,2,67,329,3,1922848,,,,1,,,,
9,2,1,34,5,2,1,2,68,373,3,1870434,,23,,1,,,399,
9,2,1,34,4,2,2,2,68,362,3,1849336,,,,,,,,
9,1,3,48,5,2,2,7,68,303,3,2944946,,,,,,,,
9,2,3,51,4,2,2,5,68,329,3,3035264,,,,,,,,
6,2,2,31,5,2,2,4,43,207,4,1747696,9,,,,,,224,
1,1,4,6,4,2,1,9,1,214,4,171394,,,,,,,223,
8,1,3,48,5,2,2,7,67,303,3,2759250,,,,,2,,,
8,2,4,6,4,2,1,9,67,327,3,534069,,,,,,,,
9,2,3,21,4,2,2,6,68,303,3,1270231,,,,,,,,
6,1,4,6,5,2,1,9,45,233,4,169858,,,,,,,,
6,2,3,37,5,2,2,5,48,247,4,2118152,9,,,,,,,
8,2,4,32,5,2,2,8,67,303,3,1781268,,,,,,,,
9,1,4,53,4,2,2,9,68,231,4,3140697,,,,,,,,
6,1,1,36,4,2,1,2,43,207,4,1927223,,,3,1,3,,,1
8,1,1,36,5,2,2,2,67,313,3,1998652,,,,,,,,
1,1,3,48,4,2,2,7,1,362,3,2701195,,,,,5,,,
8,1,4,8,5,2,2,8,67,327,3,579997,,55,,,9,,,7
6,2,4,15,4,2,2,9,48,215,4,954159,,,,,,,,
6,2,4,6,5,2,2,9,38,210,4,366444,,,4,,1,,,
9,1,1,36,5,2,2,2,68,303,3,1922824,,,3,,,,,
6,1,1,36,5,2,2,2,38,210,4,1943179,,,,,8,,,
9,2,1,34,4,2,2,2,68,364,3,1865910,,23,,,,59,,
6,1,4,6,4,2,2,9,43,207,4,492350,,,,,7,,364,
1,1,4,6,5,2,2,9,1,303,3,362743,1,,2,,,,,
8,1,4,6,4,2,2,9,67,312,3,378161,,,,,4,,,
8,1,4,8,5,2,2,8,67,303,3,567548,,,4,,,,,
9,2,3,12,5,2,1,5,68,314,3,801532,,,,,8,,461,4
9,1,3,48,4,2,2,7,68,303,3,2914018,,27,,,6,61,,
9,2,4,4,4,2,2,8,68,303,3,98075,,,,,,,,
6,2,4,6,5,2,2,9,43,207,4,517696,9,47,,,8,,,
8,1,4,6,5,2,2,9,67,303,3,419122,,,,,,,,
1,2,3,37,5,2,2,5,1,110,5,2198798,2,,,1,,,,
8,1,3,48,4,2,1,7,67,303,3,2727369,,,,,,,,
1,1,1,9,5,2,1,1,1,119,5,618825,,,4,,,,,
6,1,4,6,5,2,2,9,49,217,4,332282,,19,,,,,,
1,2,4,56,5,2,2,8,1,301,7,3244365,,,,,,,,
6,1,3,48,4,2,2,7,57,247,4,2859397,,,,,,16,,
1,1,3,48,4,2,2,7,1,303,3,2955656,,36,,,,,,
9,2,3,48,5,2,2,7,68,303,3,2848081,,,,,5,,,1
2,2,4,6,4,2,2,9,2,416,6,511624,,,,,,,,
8,1,4,6,5,2,2,9,67,362,3,403722,,,1,,,,,
8,1,4,6,4,2,2,9,67,313,3,310723,,,,,,,,
9,2,4,4,5,2,2,8,68,303,3,63155,2,,,,,,,
6,1,4,6,4,2,2,9,43,207,4,331928,,,,,,,,
8,1,4,6,4,2,2,9,67,314,3,280957,,,,,4,4,,
6,1,4,6,5,2,2,9,44,240,4,507693,,40,,,,,,
6,1,4,6,4,2,2,9,43,207,4,387040,,,,,,,,
6,2,3,13,4,2,2,5,38,461,6,903937,,,,1,,31,372,
8,2,3,12,5,2,2,5,67,313,3,788090,,,,,,,,
8,2,4,6,5,2,2,9,67,303,3,433811,,,2,,,,,
6,2,4,53,4,2,1,9,49,217,4,3117904,,42,,,,,,2
6,1,4,6,4,2,2,9,46,223,4,454266,,,2,,,,,
6,2,4,6,4,2,2,9,48,215,4,329834,,,5,1,,,,
6,1,2,39,4,2,2,3,58,203,4,2341032,,,,,,28,,
9,1,3,48,4,2,1,7,68,303,3,2867903,,,,,,9,,
6,1,3,51,4,2,2,5,53,229,4,3004322,,,,,2,48,,1
9,1,3,13,5,2,1,5,68,303,3,925212,9,,,,,,,
9,2,4,6,4,2,2,9,68,303,3,412175,2,,,,,,,
2,1,2,39,4,2,2,3,2,442,6,2317922,,,,,,,,
2,2,1,34,4,2,2,2,2,440,6,1811130,,,,,7,,239,
9,2,4,6,4,2,2,9,68,303,3,529839,,,,,,,,
6,1,4,6,4,2,2,9,43,207,4,312619,,,,,,,,
8,1,4,6,4,2,2,9,67,303,3,240723,,40,,,4,,35,
9,1,1,25,4,2,2,1,68,362,3,1446914,,,,,,,28,
8,2,4,6,4,2,1,9,67,303,3,215561,,,,,,,,
6,1,4,6,5,2,2,9,43,207,4,375522,,,,1,2,,512,
6,2,4,6,4,2,2,9,57,247,4,338011,3,,1,,,40,,
6,2,4,6,4,2,2,9,45,233,4,494046,,,,,,,,
6,1,4,6,4,2,2,9,43,240,4,281044,,,,,,,48,
8,2,4,6,5,2,2,9,67,303,3,462858,,,,,,61,,7
1,1,2,26,4,2,2,3,1,213,4,1545599,,,,,,,,7
1,1,3,48,5,2,1,7,1,303,3,2745004,2,,,,,,139,
9,2,3,12,4,2,1,5,68,363,3,771342,,,,,,,,
6,2,4,6,4,2,2,9,45,233,4,509994,,,,1,4,,,
6,1,4,6,5,2,2,9,43,217,4,484622,,,,,,,,
9,1,1,36,4,2,2,2,68,329,3,1929694,4,,,,2,,,
9,2,4,32,4,2,1,8,68,327,3,1768307,,,,,,,,
8,1,2,18,5,2,2,3,67,303,3,1137019,,,,,,,,
1,2,3,24,4,2,2,5,1,128,5,1377664,2,37,,,2,,,
6,2,4,41,4,2,2,9,58,200,4,2415223,,,,,,,440,
6,1,1,25,5,2,2,1,43,233,4,1425021,,,,,,,,2
2,1,3,12,4,2,2,5,2,332,3,711322,,,,,5,4,,
1,1,2,17,4,2,2,3,1,104,5,994893,,48,,,,,,
6,1,4,6,4,2,2,9,49,217,4,515557,1,,,1,4,,,
2,2,3,24,4,2,2,5,2,333,3,1357345,9,,1,,,64,149,
9,1,3,22,4,2,2,7,68,373,3,1293523,,12,,,,,,
2,1,1,36,4,2,2,2,2,341,3,1968253,,32,,,,,416,
6,1,1,50,5,2,2,1,58,203,4,2992624,,,1,1,,21,,
9,2,3,12,4,2,2,5,68,329,3,668946,,,,1,,,,
9,2,3,40,4,2,2,7,68,370,3,2380342,,,,,,,,
9,1,3,48,5,2,2,7,68,303,3,2767928,,49,,,,32,,
6,2,3,48,4,2,2,7,57,247,4,2879582,,,,,,11,,
6,2,1,36,5,2,2,2,43,207,4,2041957,,,3,,,,,6
9,2,3,12,4,2,2,5,68,327,3,846440,,,,,,,,
6,2,1,34,5,2,2,2,43,247,4,1815489,2,,,,,,,
6,1,3,24,5,2,2,5,43,207,4,1381620,,,,,,,,
1,2,2,55,5,2,2,3,1,303,3,3222274,,,3,,,,,
6,1,3,24,5,2,2,5,43,207,4,1375516,,,,,,50,,
6,2,3,40,4,2,1,7,56,242,4,2363407,,,,,7,,,
1,1,1,25,5,2,2,1,1,364,3,1469500,9,,,,,,,
1,1,1,25,5,2,2,1,1,139,5,1405358,,,,,8,,,
6,1,1,25,5,2,2,1,57,247,4,1417031,2,53,,,4,,451,
2,1,3,24,4,2,2,5,2,429,6,1371602,,,,1,,,,
6,1,1,36,5,2,1,2,43,207,4,2033762,,,,,,,,
2,2,3,37,4,2,2,5,2,341,3,2196636,9,22,,,,,,
1,2,3,13,4,2,2,5,1,212,4,909146,,,,,,,21,
6,1,4,6,4,2,2,9,43,205,4,287291,,,,,,,,6
6,2,2,20,4,2,2,4,45,233,4,1230882,,,,,,,,
6,2,4,6,4,2,2,9,57,247,4,366627,,,,,8,,,
1,1,1,36,4,2,2,2,1,151,5,2015425,3,,,,,6,,
6,1,2,26,4,2,2,3,45,233,4,1559040,,,,,,,,
6,1,3,22,5,2,2,7,57,247,4,1324744,,,,,2,,,
1,2,3,12,4,2,2,5,1,327,3,830027,,,,,3,51,,
1,2,4,6,4,2,1,9,1,139,5,281767,,,1,,,34,,
1,2,4,53,5,2,2,9,1,164,5,3086889,,,4,,,,,
6,2,4,6,4,2,2,9,45,233,4,320237,,,,,,21,301,3
8,1,3,12,4,2,1,5,67,365,3,795439,,,,,,,,7
8,1,3,21,5,2,2,6,67,303,3,1241085,,,,,,,,
6,2,4,6,4,2,2,9,38,210,4,376229,3,,,,,,,
6,2,4,6,5,2,2,9,38,210,4,205700,3,,,,,,,7
6,2,4,6,5,2,1,9,38,210,4,350190,,,,1,,,,
6,2,4,6,5,2,2,9,57,247,4,236090,,,,,,,,7
8,2,4,32,5,2,2,8,67,303,3,1757195,,,,,,,,
8,1,3,37,5,2,1,5,67,303,3,2111215,,,,,4,,,
2,2,3,12,5,2,2,5,2,333,3,801928,1,26,,,,,,
9,1,3,13,4,2,2,5,68,327,3,919391,9,,,,,,,
9,2,4,53,5,2,2,9,68,303,3,3144640,,,1,1,,52,164,
6,2,3,45,5,2,2,5,57,247,4,2589781,,,,,,,18,
9,2,4,4,5,2,2,8,68,303,3,117613,9,,4,,,,327,
1,2,1,34,4,2,2,2,1,120,5,1821146,,,,,,,,
6,1,4,6,4,2,2,9,46,206,4,209900,,,,,2,,,
1,2,1,36,4,2,1,2,1,329,3,1994914,,,,,,,,
9,1,3,12,5,2,2,5,68,303,3,733231,,,,,,,,
6,2,3,40,5,2,2,7,45,233,4,2347712,,,4,,,53,,
8,2,1,34,5,2,2,2,67,329,3,1857887,,,,,,,444,
1,2,4,6,4,2,2,9,1,169,5,408805,,,,,,,,
9,2,3,12,4,2,1,5,68,327,3,723678,,40,,,,,,1
3,1,3,48,5,2,1,7,27,313,3,2804637,,,,,,,,
1,2,3,40,5,2,2,7,1,301,7,2344650,,,,1,,,,5
9,1,3,12,5,2,2,5,68,362,3,845670,,,,,,,160,
9,2,3,12,4,2,1,5,68,327,3,662084,,,1,1,3,,,
2,2,3,13,4,2,2,5,2,427,6,879612,,,,,,,,
6,2,4,6,4,2,2,9,45,233,4,425282,,,,1,,,,
6,2,4,6,4,2,2,9,57,210,4,523704,,,,,,,,
8,2,1,36,4,2,2,2,67,314,3,2061757,,17,,,2,35,,
9,1,4,6,4,2,1,9,68,303,3,329159,,,,,,,,
6,1,4,6,5,2,2,9,45,233,4,383032,,,,1,,65,,
6,1,3,51,5,2,2,5,48,215,4,3020030,,53,,,,,167,
8,2,3,12,4,2,2,5,67,327,3,719387,,,3,,,,,
1,2,4,6,5,2,2,9,1,372,3,501652,,,,,,,,
8,1,2,27,5,2,2,4,67,303,3,1610994,,,3,,,,53,
9,2,3,12,4,2,2,5,68,211,4,709530,,,,,,39,102,
8,1,3,37,5,2,2,5,67,312,3,2188159,,,,,,,,
9,2,3,12,4,2,2,5,68,370,3,824684,2,,,1,4,,338,
8,2,3,48,5,2,2,7,67,303,3,2803157,,,,,3,,,5
1,2,1,34,5,2,2,2,1,239,4,1817987,,,,,,,,
1,1,4,6,4,2,2,9,1,158,4,426960,,,1,,,,,
2,1,4,53,5,2,2,9,2,425,6,3142958,,,,,,29,,
6,2,4,6,4,2,2,9,45,233,4,333615,,,,1,,36,,3
1,2,1,25,4,2,2,1,1,132,5,1422867,4,,,,,,,
6,1,4,6,5,2,2,9,43,209,4,321564,,,,,,,,
6,2,3,48,4,2,2,7,57,247,4,2716273,,,,1,,,18,
9,1,3,48,5,2,1,7,68,303,3,2704057,,,,,,,,
1,1,3,24,4,2,2,5,1,163,5,1357959,2,18,,,,35,,
9,2,3,12,4,2,2,5,68,327,3,779907,,,,,,,,
6,2,2,17,4,2,1,3,38,210,4,1003099,,,,1,9,,,1
6,1,3,12,4,2,2,5,57,247,4,735879,,,,,,,,
2,1,1,36,4,2,2,2,2,333,3,2010216,4,,,,,,,
1,1,4,53,4,2,2,9,1,449,6,3131483,,,1,1,2,,,
9,2,3,12,5,2,1,5,68,327,3,658404,,,,,,,,
6,2,4,6,5,2,2,9,38,210,4,314449,,9,,,,,,
3,1,4,6,4,2,2,9,16,303,3,501295,9,,,,4,39,,2
8,2,2,17,5,2,2,3,67,303,3,1105539,3,,4,,,,,5
6,1,4,6,4,2,2,9,49,301,7,397387,,,,,,31,,
8,2,4,6,5,2,2,9,67,303,3,476451,,,,,,,,
8,2,3,48,5,2,2,7,67,210,4,2949987,,,,,,,,
3,1,1,36,5,2,2,2,27,303,3,2061841,,,,,,,,
1,2,3,13,5,2,1,5,1,327,3,886070,,17,,,5,28,,4
9,2,4,6,4,2,1,9,68,303,3,258947,,,,,,,,
1,2,3,48,4,2,2,7,1,303,3,2845064,,,,,,,,
1,2,4,6,5,2,2,9,1,139,5,478900,,,,,,,,
6,2,4,53,4,2,2,9,42,206,4,3143915,3,,,,,,,
6,2,2,17,4,2,2,3,45,233,4,985657,,,,,,,,8
8,2,4,6,4,2,1,9,67,303,3,352245,,,,,9,,,7
6,1,4,6,5,2,2,9,43,207,4,351620,,22,1,,,,,
1,2,1,25,5,2,1,1,1,362,3,1461819,,,3,,,,,
1,2,4,6,4,2,1,9,1,212,4,494836,9,,,,,,,
9,2,1,36,5,2,2,2,68,365,3,2019009,,,,,,,,
8,2,1,36,5,2,2,2,67,329,3,2014411,,6,,,,,,
9,2,3,48,5,2,1,7,68,303,3,2700356,9,31,,1,8,,,
6,2,4,6,4,2,1,9,46,223,4,346789,,,3,,,,,
8,2,2,18,5,2,2,3,67,303,3,1131671,,,,,,,15,
6,2,4,53,4,2,1,9,57,247,4,3083444,,,1,,1,,,
6,1,1,36,4,2,2,2,43,207,4,1956828,,,,,,,,
